ID,学年,漢字,画数,音読み,訓読み,ヒント音読み,ヒント訓読み
1001,1,一,1,イチ・イツ,ひと・ひと(つ),一ばん(番),一人、一つ
1002,1,九,2,キュウ・ク,ここの(つ),九百人、九月、,九つ
1003,1,七,2,シチ,なな・なな(つ)・なの,七月,七つ、七日
1004,1,十,2,ジュウ・ジッ,とお・と,十人、十本,十日、十一
1005,1,人,2,ジン・ニン,ひと,人口、三人,一人、人々
1006,1,二,2,ニ,ふた・ふた(つ),二足,二人、二つ
1007,1,入,2,ニュウ,い(る)・い(れる)・はい(る),入学、入力,入る、入れる
1008,1,八,2,ハチ,や・や(つ)・やっ(つ)・よう,八月,八百や(屋)、八つ、八日
1009,1,力,2,リョク・リキ,ちから,出力、人力車、,力もち
1010,1,下,3,カ・ゲ,した・しも・もと・さ(げる)・さ(がる)・くだ(る)・くだ(す)・くだ(さる)・お(ろす)・お(りる),天下、下水,下のほう、下がる、下りる
1011,1,口,3,コウ・ク,くち,火口、口ない(内),口びる(唇)
1012,1,三,3,サン,み・み(つ)・みっ(つ),三月、三こ(個),三つ、三日
1013,1,山,3,サン,やま,山林、森林,山のぼり
1014,1,子,3,シ・ス,こ,女子、よう(様)子,小犬
1015,1,女,3,ジョ・ニョ,おんな・め,女子、天女,女の子、おと女(乙女)
1016,1,小,3,ショウ,ちい(さい)・こ・お,大小,小さい、小石、小川
1017,1,上,3,ジョウ・ショウ,うえ・うわ・かみ・あ(げる)・あ(がる)・のぼ(る)・のぼ(せる)・のぼ(す),上下、上手[音読み],上手[訓読み]、上手、上がる、上る
1018,1,夕,3,セキ,ゆう,一ちょう(朝)一夕,夕日、夕立
1019,1,千,3,セン,ち,千円、千日,千ば(葉)県
1020,1,川,3,セン,かわ,か(河)川,川上、川下
1021,1,大,3,ダイ・タイ,おお・おお(きい)・おお(いに),大学、大小,大きい、大いに
1022,1,土,3,ド・ト,つち,土足、土ち(地),土ねんど(粘土)
1023,1,円,4,エン,まる(い),一円,円いおさら(皿)
1024,1,王,4,オウ,,王さま(様),
1025,1,火,4,カ,ひ,火口、火よう(曜)日,火をつける
1026,1,月,4,ゲツ・ガツ,つき,月よう(曜)日、一(いち)月,お月見、一(ひと)月
1027,1,犬,4,ケン,いぬ,名犬,子犬
1028,1,五,4,ゴ,いつ・いつ(つ),五百円,五つ
1029,1,手,4,シュ・ズ,て・た,手中、上手,手足、下手
1030,1,水,4,スイ,みず,水よう(曜)日、雨(う)水,雨(あま)水
1031,1,中,4,チュウ,なか,水中、空中、日中,山の中、ま(真)ん中、せ(背)中
1032,1,天,4,テン,あま,天下、天空,天の川、
1033,1,日,4,ニチ・ジツ,ひ・か,一日、本日,日の出、五日
1034,1,文,4,ブン・モン,ふみ,文字、さく(作)文、天文だい(台),こい(恋)文
1035,1,木,4,ボク・モク,き・こ,土木、木よう(曜)日,つ(積)み木、木のは(葉）
1036,1,六,4,ロク,む・む(つ)・むっ(つ)・むい,六こ(個),六つ、六日
1037,1,右,5,ウ・ユウ,みぎ,右せつ(折)、左右,右手、右足
1038,1,玉,5,ギョク,たま、だま,しょうぎ(将棋)の王と玉,お年玉、百円玉
1039,1,左,5,サ,ひだり,左せつ(折)、左右,左手、左足
1040,1,四,5,シ,よ・よ(つ)・よっ(つ)・よん,四月,四年生、四つ、四こ
1041,1,出,5,シュツ・スイ,で(る)・だ(す),出力、出納(とう),出口、水を出す
1042,1,正,5,セイ・ショウ,ただ(しい)・ただ(す)・まさ,正解(かい)、お正月,正しい人、まちがいを正す、正に
1043,1,生,5,セイ・ショウ,い(きる)・い(かす)・い(ける)・う(まれる)・う(む)・お(う)・は(える)・は(やす)・き・なま,先生、一生,生きる、力を生かす、花を生ける、生まれる、子を生む、生い立ち、草が生える、ひげを生やす、ふくの生地(じ)、生たまご
1044,1,石,5,セキ・シャク・コク,いし,宝(ほう)石、じ(磁)石、千石,小石
1045,1,田,5,デン,た,水田,田んぼ
1046,1,白,5,ハク・ビャク,しろ・しろ(い)・しら,白米(まい)、白夜(や),白い花、白雪姫(ゆきひめ)
1047,1,本,5,ホン,もと,本だな,木の本
1048,1,目,5,モク・ボク,め・ま,本の目次(じ)、面(めん)目ない,目玉やき、目のあたり
1049,1,立,5,リツ・リュウ,た(つ)・た(てる),国立、建(こん)立,足で立つ、はたを立てる
1050,1,気,6,キ・ケ,,天気、人(にん)気がある、人(ひと)気がない,
1051,1,休,6,キュウ,やす(む)・やす(まる)・やす(める),休日,学校を休む、心が休まる、目を休める
1052,1,糸,6,シ,いと,抜(ばっ)糸,糸でんわ、毛(け)糸
1053,1,字,6,ジ,あざ,名字,大字※住所などで使います
1054,1,耳,6,ジ,みみ,耳鼻科(びか)、耳目をあつめる※注目すること,耳をすます、パンの耳
1055,1,先,6,セン,さき・ま(ず),先生,行(ゆ)き先、先ずはこれから
1056,1,早,6,ソウ・サッ,はや(い)・はや(まる)・はや(める),早朝(ちょう)、早速(そく)はじめる,早くおきる、気が早まる、予定(よてい)を早める
1057,1,竹,6,チク,たけ,竹林,竹の子、青竹
1058,1,虫,6,チュウ,むし,昆(こん)虫,虫歯(ば)、虫かご
1059,1,年,6,ネン,とし,一年生,お年玉
1060,1,百,6,ヒャク,もも,百円玉,百歳(とせ)※昔の数え方で今はほとんど使わない、人名などで使われることもある：百恵
1061,1,名,6,メイ・ミョウ,な,名犬、名字,名前(まえ)、あだ名
1062,1,花,7,カ,はな,花粉(ふん)、花瓶(びん),花火、花びら
1063,1,貝,7,バイ,かい,※古い読みかたで巻貝を「バイ」と読んでいました,貝がら
1064,1,見,7,ケン,み(る)・み(える)・み(せる),見学,手を見る、月が見える、絵(え)を見せる
1065,1,車,7,シャ,くるま,水車、自動(じどう)車,風(ふう)車
1066,1,赤,7,セキ・シャク,あか・あか(い)・あか(らむ)・あか(らめる),赤道(どう)、赤銅色(どうしょく),赤いりんご、顔(かお)が赤らむ、顔(かお)を赤らめる
1067,1,足,7,ソク,あし・た(りる)・た(す),一足、二足※くつのかぞえかた、遠足,足あと、足りる、足し算、水を足す
1068,1,村,7,ソン,むら,山村、村長(ちょう)さん,村のまつり、村人
1069,1,男,7,ダン・ナン,おとこ,男子、長(ちょう)男、次(じ)男、三男,晴れ男、雨男、男まつり
1070,1,町,7,チョウ,まち,町長(ちょう)さん、町内会(ないかい),町のあかり、町かど
1071,1,雨,8,ウ,あめ・あま,雨天,大雨、雨やどり、雨ぐも
1072,1,学,8,ガク,まな(ぶ),学年、大学,学校で学ぶ
1073,1,金,8,キン・コン,かね・かな,金メダル、金曜日、黄(おう)金,お金、金づち
1074,1,空,8,クウ,そら・あ(く)・あ(ける)・から,空気、空港(こう),青空、穴(あな)が空く、穴(あな)を空ける、空のはこ
1075,1,青,8,セイ・ショウ,あお・あお(い),青天、群(ぐん)青色(いろ)※濃(こ)い青いろ,青信号(しんごう)、青い海(うみ)
1076,1,林,8,リン,はやし,山林、竹林、林道(どう),林さん(人名)、雑(ぞう)木林
1077,1,音,9,オン・イン,おと・ね,音楽、母(ぼ)音、子音,足音、音色(いろ)
1078,1,草,9,ソウ,くさ,雑(ざっ)草、草原(げん),草むら、草花
1079,1,校,10,コウ,,学校、校長(ちょう)先生、登(とう)校、下校,
1080,1,森,12,シン,もり,森林,森のくまさん、青森県(けん)
2001,2,刀,2,トウ,かたな,木刀、日本刀,刀をさす、小刀できる
2002,2,丸,3,ガン,まる・まる(い)・まる(める),一丸となる、丸薬(やく)を飲む,丸いかお、紙を丸める
2003,2,弓,3,キュウ,ゆみ,弓道,弓をひく、弓矢
2004,2,工,3,コウ・ク,,工作する、工場、大工さん、工夫(ふう)する,
2005,2,才,3,サイ,,天才、多彩、才能(のう),
2006,2,万,3,マン・バン,,一万円、万国旗(き),
2007,2,引,4,イン,ひ(く)・ひ(ける),引力、引火,ひもを引く、風が引ける
2008,2,牛,4,ギュウ,うし,牛肉、牛乳(にゅう)、牛車,子牛、牛小屋(や)
2009,2,元,4,ゲン・ガン,もと,元気、元日、,足元、元どおり
2010,2,戸,4,コ,と,一戸建(た)て,戸を開ける、雨戸
2011,2,午,4,ゴ,,午前、午後、正午,
2012,2,公,4,コウ,おおやけ,公園、公正、公平,ひみつを公にする、公の場所
2013,2,今,4,コン,いま,今回、今度(ど),今すぐやる、今までは
2014,2,止,4,シ,と(まる)・と(める),中止、終始,とけいが止まる、足を止める
2015,2,少,4,ショウ,すく(ない)・すこ(し),少数、少年,数が少ない、少し食べる
2016,2,心,4,シン,こころ,円の中心、心理テスト,心づかい、心細い
2017,2,切,4,セツ・サイ,き(る)・き(れる),大切、親切、一切食べない,紙を切る、電池が切れる
2018,2,太,4,タイ・タ,ふと(い)・ふと(る),太陽、丸太,太い糸、食べて太る
2019,2,内,4,ナイ・ダイ,うち,校内、境(けい)内,線の内側、身内
2020,2,父,4,フ,ちち,父母、祖(そ)父,父上、父の日
2021,2,分,4,ブン・フン・ブ,わ(ける)・わ(かれる)・わ(かる)・わ(かつ),半分、五分後にする、強さは五分だ,おかしを分ける、道が分かれる、意味がわかる
2022,2,方,4,ホウ,かた,地方、正方形,書き方、あの方
2023,2,毛,4,モウ,け,羽毛、毛筆(ひつ),毛糸、毛足
2024,2,友,4,ユウ,とも,友人、親友,友達(だち)
2025,2,外,5,ガイ・ゲ,そと・ほか・はず(す)・はず(れる),外国、外科医(い),外であそぶ、外の人、ボタンを外す、予想(よそう)が外れる
2026,2,兄,5,ケイ・キョウ,あに,父兄、兄弟,わたしの兄
2027,2,古,5,コ,ふる(い)・ふる(す),中古車、古風,古い本、服(ふく)を着(き)古す
2028,2,広,5,コウ,ひろ(い)・ひろ(まる)・ひろ(める)・ひろ(がる)・ひろ(げる),広大、広告(こく),広い公園、名前が広まる(がる・げる)
2029,2,市,5,シ,いち,市長さん、市役所(やくしょ),朝市に行く
2030,2,矢,5,シ,や,一矢をむくいる,弓矢、矢のような速(はや)さ
2031,2,台,5,ダイ・タイ,,台風、1台の車、舞(ぶ)台、台湾(わん)※国名,
2032,2,冬,5,トウ,ふゆ,春夏秋冬、冬眠(みん),冬休み、冬景色(げしき)
2033,2,半,5,ハン,なか(ば),半分こ、半そでシャツ,半ば終わる、4月の半ば
2034,2,母,5,ボ,はは,母国、母校、母音,わたしの母、母犬、母猫
2035,2,北,5,ホク,きた,東北、北西、北海道,北風がふく、北の空
2036,2,用,5,ヨウ,もち(いる),用事(じ)、用意(い),力を用いる
2037,2,羽,6,ウ,は・はね,羽毛、羽化(か),鳥の羽、羽を広げる
2038,2,回,6,カイ・エ,まわ(る)・まわ(す),一回目、回数、回向(こう),目が回る、手を回す、回り道
2039,2,会,6,カイ・エ,あ(う),会社、知識(しき)を会得(とく)する,ともだちに会う
2040,2,交,6,コウ,まじ(わる)・まじ(える)・ま(じる)・ま(ざる)・ま(ぜる)・か(う)・か(わす),交通、交番,道が交わる(える)、あいさつを交わす
2041,2,光,6,コウ,ひか(る)・ひかり,日光、観(かん)光旅(りょ)行,星が光る、光があたる
2042,2,考,6,コウ,かんが(える),思考、参(さん)考,答えを考える
2043,2,行,6,コウ・ギョウ・アン,い(く)・ゆ(く)・おこな(う),先行、ア行、行灯(どん),行く先、行方、先に行う
2044,2,合,6,ゴウ・ガッ・カッ,あ(う)・あ(わす)・あ(わせる),合格(かく)、合体、合戦(せん),間に合う、力を合わす(せる)
2045,2,寺,6,ジ,てら,寺社、寺院(いん),お寺、寺子屋(や)
2046,2,自,6,ジ・シ,みずか(ら),自分、自由(ゆう)、自然(ぜん),自らやる
2047,2,色,6,ショク・シキ,いろ,原色、特(とく)色、景(け)色,たくさんの色、顔色、音色
2048,2,西,6,セイ・サイ,にし,西洋、西国、関(かん)西地方(ちほう),西日がつよい
2049,2,多,6,タ,おお(い),多分、多数,人が多い
2050,2,地,6,チ・ジ,,地球(きゅう)、地図、地面(めん),
2051,2,池,6,チ,いけ,天池,青池
2052,2,当,6,トウ,あ(たる)・あ(てる),当時,
2053,2,同,6,ドウ,おな(じ),同時,同じ
2054,2,肉,6,ニク,,犬肉,
2055,2,米,6,ベイ・マイ,こめ,親米、赤米,大米
2056,2,毎,6,マイ,ごと,毎朝,毎に
2057,2,何,7,カ,なに・なん,何考,何一、何通
2058,2,角,7,カク,かど・つの,四角,岩角、大角
2059,2,汽,7,キ,,汽車,
2060,2,近,7,キン,ちか(い),遠近,
2061,2,形,7,ケイ・ギョウ,かた・かたち,雲形、大形,形作、形作
2062,2,言,7,ゲン・ゴン,い(う)・こと,一言、一言,言売、一言
2063,2,谷,7,コク,たに,雲谷,谷回
2064,2,作,7,サク・サ,つく(る),後作、後作,
2065,2,社,7,シャ,やしろ,一社,大社
2066,2,図,7,ズ・ト,はか(る),図太、図太,
2067,2,声,7,セイ・ショウ,こえ・こわ,一声、声明,声出、声作
2068,2,走,7,ソウ,はし(る),回走,
2069,2,体,7,タイ・テイ,からだ,体当、大体,体中
2070,2,通,7,ツウ,とお(る)・とお(す)・かよ(う),お通,
2071,2,弟,7,テイ・ダイ・デ,おとうと,兄弟、兄弟、弟子,姉弟
2072,2,売,7,バイ,う(る)・う(れる),公売,売木
2073,2,麦,7,バク,むぎ,麦秋,青麦
2074,2,来,7,ライ,く(る)・きた(る)・きた(す),遠来,来る年、来る
2075,2,里,7,リ,さと,朝里,里帰
2076,2,画,8,ガ・カク,,音画、一画,
2077,2,岩,8,ガン,いわ,岩石,赤岩
2078,2,京,8,キョウ・ケイ,,右京、京王,
2079,2,国,8,コク,くに,一国,岩国
2080,2,姉,8,シ,あね,外姉,姉上
2081,2,知,8,チ,し(る),学知,知
2082,2,長,8,チョウ,なが(い),一長,長(井)
2083,2,直,8,チョク・ジキ,ただ(ちに)・なお(す)・なお(る),直後、正直,直ちに、いいなおすけ(井伊直弼)
2084,2,店,8,テン,みせ,米店,お店
2085,2,東,8,トウ,ひがし,川東,川東
2086,2,歩,8,ホ・ブ・フ,ある(く)・あゆ(む),牛歩、行歩、角歩,
2087,2,妹,8,マイ,いもうと,兄妹,妹分
2088,2,明,8,メイ・ミョウ,あ(かり)・あか(るい)・あか(らむ)・あか(らめる)・あき(らか)・あ(ける)・あ(く)・あ(くる)・あか(す),記明、光明,明かり、明らか、明く、明くる
2089,2,門,8,モン,かど,青門,門池
2090,2,夜,8,ヤ,よ・よる,一夜,夜回、夜昼
2091,2,科,9,カ,,学科,
2092,2,海,9,カイ,うみ,雲海,入海
2093,2,活,9,カツ,,活魚,
2094,2,計,9,ケイ,はか(る)・はか(らう),一計,
2095,2,後,9,ゴ・コウ,のち・うし(ろ)・あと・おく(れる),前後、後学,後川、後ろ、後回
2096,2,思,9,シ,おも(う),思し,おもうさま(思う様)
2097,2,室,9,シツ,むろ,一室,石室
2098,2,首,9,シュ,くび,一首,青首
2099,2,秋,9,シュウ,あき,今秋,秋休
2100,2,春,9,シュン,はる,回春,春休
2101,2,食,9,ショク・ジキ,た(べる)・く(う)・く(らう),一食、肉食,食うや食わず
2102,2,星,9,セイ・ショウ,ほし,海星、天南星,星合
2103,2,前,9,ゼン,まえ,前後,前書
2104,2,茶,9,チャ・サ,,茶色、一茶,
2105,2,昼,9,チュウ,ひる,昼間,昼休
2106,2,点,9,テン,,時点,
2107,2,南,9,ナン・ナ,みなみ,雲南、雲南,川南
2108,2,風,9,フウ・フ,かぜ・かざ,今風、今風,風通、風通
2109,2,夏,10,カ・ゲ,なつ,今夏、夏毛,夏休
2110,2,家,10,カ・ケ,いえ・や,一家、王家,家中、空家
2111,2,記,10,キ,しる(す),右記,
2112,2,帰,10,キ,かえ(る)・かえ(す),回帰,
2113,2,原,10,ゲン,はら,原音,合原
2114,2,高,10,コウ,たか(い)・たか・たか(まる)・たか(める),高校,高(井)、天高
2115,2,紙,10,シ,かみ,間紙,紙切
2116,2,時,10,ジ,とき,同時,一時
2117,2,弱,10,ジャク,よわ(い)・よわ(る)・よわ(まる)・よわ(める),強弱,弱い
2118,2,書,10,ショ,か(く),一書,計画書
2119,2,馬,10,バ,うま・ま,一馬,白馬、白馬
2120,2,魚,11,ギョ,うお・さかな,海魚,赤魚、お魚
2121,2,強,11,キョウ・ゴウ,つよ(い)・つよ(まる)・つよ(める)・し(いる),強大、強引,
2122,2,教,11,キョウ,おし(える)・おそ(わる),回教,
2123,2,黄,11,コウ・オウ,き・こ,黄海、黄玉,黄色、黄海
2124,2,黒,11,コク,くろ・くろ(い),黒雲,黒光、黒石
2125,2,細,11,サイ,ほそ(い)・ほそ(る)・こま(か)・こま(かい),子細,細(井)、細か
2126,2,週,11,シュウ,,週明,
2127,2,雪,11,セツ,ゆき,雨雪,雪下
2128,2,船,11,セン,ふね・ふな,回船,入船、大船
2129,2,組,11,ソ,く(む)・くみ,組,組分
2130,2,鳥,11,チョウ,とり,海鳥,大鳥
2131,2,野,11,ヤ,の,外野,野太
2132,2,理,11,リ,ことわり,一理,理
2133,2,雲,12,ウン,くも,雲雨,雲行
2134,2,絵,12,カイ・エ,,絵画、絵入,
2135,2,間,12,カン・ケン,あいだ・ま,日間、一間,間中、間引
2136,2,場,12,ジョウ,ば,市場,場当
2137,2,晴,12,セイ,は(れる)・は(らす),晴雨,
2138,2,朝,12,チョウ,あさ,一朝,朝早
2139,2,答,12,トウ,こた(える)・こた(え),回答,答
2140,2,道,12,ドウ,みち,一道,道行
2141,2,買,12,バイ,か(う),買春,
2142,2,番,12,バン,,後番,
2143,2,園,13,エン,その,園地,大園
2144,2,遠,13,エン・オン,とお(い),遠海、遠国,遠(井)
2145,2,楽,13,ガク・ラク,たの(しい)・たの(しむ),音楽、赤楽,
2146,2,新,13,シン,あたら(しい)・あら(た)・にい,新入,新た、新川
2147,2,数,13,スウ・ス,かず・かぞ(える),色数、数少,数少
2148,2,電,13,デン,,赤電,
2149,2,話,13,ワ,はな(す)・はなし,一話,話出
2150,2,歌,14,カ,うた・うた(う),歌会,後歌、歌歌い
2151,2,語,14,ゴ,かた(る)・かた(らう),用語,
2152,2,算,14,サン,,合算,
2153,2,読,14,ドク・トク・トウ,よ(む),一読、読本、読点,
2154,2,聞,14,ブン・モン,き(く)・き(こえる),一聞、見聞,聞く耳
2155,2,鳴,14,メイ,な(く)・な(る)・な(らす),鳴音,鳴
2156,2,線,15,セン,,線引,
2157,2,親,16,シン,おや・した(しい)・した(しむ),近親,親方、親
2158,2,頭,16,トウ・ズ,あたま・かしら,一頭、頭数,頭出、頭書
2159,2,顔,18,ガン,かお,花顔,顔立
2160,2,曜,18,ヨウ,,火曜,
3001,3,丁,2,チョウ・テイ,,一丁、園丁,
3002,3,化,4,カ・ケ,ば(ける)・ば(かす),茶化、道化,
3003,3,区,4,ク,,区分,
3004,3,反,4,ハン・ホン・タン,そ(る)・そ(らす),相反、反、一反,のるかそるか(伸るか反るか)
3005,3,予,4,ヨ,あらかじ(め),予想,予め
3006,3,央,5,オウ,,県央,
3007,3,去,5,キョ・コ,さ(る),去月、去年,去る
3008,3,号,5,ゴウ,さけ(ぶ),記号,
3009,3,皿,5,ベイ,さら,,お皿
3010,3,仕,5,シ,つか(える),仕分,
3011,3,写,5,シャ,うつ(す)・うつ(る),音写,
3012,3,主,5,シュ,ぬし・おも,教主,馬主、主立
3013,3,申,5,シン,もう(す),外申,
3014,3,世,5,セイ・セ,よ,一世、一世,世直
3015,3,他,5,タ,ほか,自他,他に
3016,3,打,5,ダ,う(つ),安打,打つ手
3017,3,代,5,ダイ・タイ,か(わる)・か(える)・よ・しろ,代引、交代,代る代る、明代、足代
3018,3,皮,5,ヒ,かわ,皮肉,皮切
3019,3,氷,5,ヒョウ,こおり・ひ,雨氷,氷水、雨氷
3020,3,平,5,ヘイ・ビョウ,たい(ら)・ひら,平和、平等,平、赤平
3021,3,由,5,ユ・ユウ,よし・よ(る),由由、自由,和由
3022,3,礼,5,レイ・ライ,,一礼、作礼,
3023,3,安,6,アン,やす(い)・やす(まる)・やす(める)・やす(らか),安全,安(井)、安らか
3024,3,曲,6,キョク,ま(がる)・ま(げる),委曲,
3025,3,血,6,ケツ,ち,悪血,血走
3026,3,向,6,コウ,む(く)・む(ける)・む(かう)・む(こう),意向,向、向日
3027,3,死,6,シ,し(ぬ),死ん,
3028,3,次,6,ジ・シ,つ(ぐ)・つぎ,野次、次第,きよ(清)次、相次
3029,3,式,6,シキ,,一式,
3030,3,守,6,シュ・ス,まも(る)・もり,国守、守門,守、足守
3031,3,州,6,シュウ,す,羽州,白州
3032,3,全,6,ゼン,まった(く)・すべ(て),安全,全く、全て
3033,3,有,6,ユウ・ウ,あ(る),区有、有界,有が(賀)
3034,3,羊,6,ヨウ,ひつじ,羊子,子羊
3035,3,両,6,リョウ,,両開,
3036,3,列,6,レツ,,ア列,
